🕘️更新时间,#genre#
2025-10-28 06:19:19,https://live.catvod.com/live.php?id=channel4_antik&token=e2fca2cfa430c9aa3625ecb207319faa0302d83368d8e30601cee95d76228271%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D

UK News,#genre#
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=e2fca2cfa430c9aa3625ecb207319faa0302d83368d8e30601cee95d76228271%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=427a7e09cf81242773b618e166c7c9a6d118599a714aaa712426bd13426d81a9%3A1761441669%3ANDguMjExLjIxMC4xMTM%3D
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=40ea4fdcbee10ab68a8668967cb5bdf71f4a3293e339e85a49b06b533e239ce5%3A1761528165%3ANjQuMjM2LjE2MC4yMQ%3D%3D
Channel 5,https://hls-gateway.vpstv.net/streams/476325.m3u8
Channel 5,http://cdn6.163189.xyz/163189/ch5
Sky News,https://i.mjh.nz/SamsungTVPlus/USBB52000022Q.m3u8
Sky News,https://hls-gateway.vpstv.net/streams/709558.m3u8
Sky News,https://hls-gateway.vpstv.net/streams/709647.m3u8
Sky News,https://d25w9q07b2mtmw.cloudfront.net/live/master.m3u8
GB News,https://i.mjh.nz/SamsungTVPlus/GBBB1600008R3.m3u8

UK Entertainment & Drama,#genre#
More4,https://live.catvod.com/live.php?id=more4_antik&token=ab9cf7234174721e9c0bdfde12a3eafe2f572fbd77b680ea3b047a555af67647%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
More4,https://live.catvod.com/live.php?id=more4_antik&token=ddb3a389f36ac56379ed8c681c0e16c1f2a71d199fe864f7e8b110877f1f1629%3A1761441669%3ANDguMjExLjIxMC4xMTM%3D
More4,https://live.catvod.com/live.php?id=more4_antik&token=95eae7c8b37b3e0ed42105dd01ca92b76a4aca94839d221221a5780b6f3558dd%3A1761528165%3ANjQuMjM2LjE2MC4yMQ%3D%3D

UK Sport,#genre#
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=e2fca2cfa430c9aa3625ecb207319faa0302d83368d8e30601cee95d76228271%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=427a7e09cf81242773b618e166c7c9a6d118599a714aaa712426bd13426d81a9%3A1761441669%3ANDguMjExLjIxMC4xMTM%3D
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=40ea4fdcbee10ab68a8668967cb5bdf71f4a3293e339e85a49b06b533e239ce5%3A1761528165%3ANjQuMjM2LjE2MC4yMQ%3D%3D
Sky Sports News,https://bee.188766.xyz/bee?id=beesport&pid=Sky-Sports-News&token=da1a9e75da1a9e75da1a9e75da1a9e75
Sky Sports News,https://bee.188766.xyz/bee?id=beesport&pid=Sky-Sports-News&token=0ea4ddb80ea4ddb80ea4ddb80ea4ddb8

UK Factual & Lifestyle,#genre#
HGTV,https://live.catvod.com/live.php?id=HGTV&token=6ef38682c144b853e398ef0dd730251901b0fc56ef07857038a4dd9cc2d13e32%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
HGTV,https://hls-gateway.vpstv.net/streams/709546.m3u8
HGTV,https://live.catvod.com/live.php?id=HGTV&token=0947573ca123c843ccb9d5b3480fac041bca3edae220f487b4369c7bb5f14420%3A1761441669%3ANDguMjExLjIxMC4xMTM%3D
HGTV,https://live.catvod.com/live.php?id=HGTV&token=e264993fb29c487a0abc6caf488417bbc41702bc2daa0fdc09b5290fdfeee979%3A1761528165%3ANjQuMjM2LjE2MC4yMQ%3D%3D
Food Network,https://hls-gateway.vpstv.net/streams/709548.m3u8
DMAX,https://hls-gateway.vpstv.net/streams/605072.m3u8

UK Kids,#genre#
CBBC,https://live.catvod.com/live.php?id=cbbc_antik&token=57365f15108a692dd73d018c1e7b1e60b333ae2e5e6112ccd02a2777d46a1c43%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
CBBC,https://live.catvod.com/live.php?id=cbbc_antik&token=d3d6db94ccd669a25fbcbbb14021d2cb2b14b7a04c20e5750ec8c5dbb2f206b5%3A1761441669%3ANDguMjExLjIxMC4xMTM%3D
CBBC,https://live.catvod.com/live.php?id=cbbc_antik&token=0d87bb3293b78d2f95572d1e9df4381f456fc3a48b78a5400ec3a26559c39425%3A1761528165%3ANjQuMjM2LjE2MC4yMQ%3D%3D
CBeebies,https://hls-gateway.vpstv.net/streams/709544.m3u8
