🕘️更新时间,#genre#
2025-10-26 08:14:38,https://live.catvod.com/live.php?id=channel4_antik&token=e2fca2cfa430c9aa3625ecb207319faa0302d83368d8e30601cee95d76228271%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D

UK News,#genre#
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=e2fca2cfa430c9aa3625ecb207319faa0302d83368d8e30601cee95d76228271%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
Channel 5,https://hls-gateway.vpstv.net/streams/476325.m3u8
Channel 5,http://cdn6.163189.xyz/163189/ch5
Sky News,https://i.mjh.nz/SamsungTVPlus/USBB52000022Q.m3u8
Sky News,https://hls-gateway.vpstv.net/streams/709558.m3u8
Sky News,https://hls-gateway.vpstv.net/streams/709647.m3u8
Sky News,https://d25w9q07b2mtmw.cloudfront.net/live/master.m3u8
GB News,https://i.mjh.nz/SamsungTVPlus/GBBB1600008R3.m3u8

UK Entertainment & Drama,#genre#
More4,http://51.89.166.17:3002/index.php?id=more4_antik
More4,https://live.catvod.com/live.php?id=more4_antik&token=ab9cf7234174721e9c0bdfde12a3eafe2f572fbd77b680ea3b047a555af67647%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D

UK Sport,#genre#
Channel 4,https://live.catvod.com/live.php?id=channel4_antik&token=e2fca2cfa430c9aa3625ecb207319faa0302d83368d8e30601cee95d76228271%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
Sky Sports News,https://bee.188766.xyz/bee?id=beesport&pid=Sky-Sports-News&token=da1a9e75da1a9e75da1a9e75da1a9e75

UK Factual & Lifestyle,#genre#
HGTV,https://live.catvod.com/live.php?id=HGTV&token=6ef38682c144b853e398ef0dd730251901b0fc56ef07857038a4dd9cc2d13e32%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
HGTV,https://hls-gateway.vpstv.net/streams/709546.m3u8
Food Network,https://hls-gateway.vpstv.net/streams/709548.m3u8
DMAX,https://hls-gateway.vpstv.net/streams/605072.m3u8

UK Kids,#genre#
CBBC,http://51.89.166.17:3002/index.php?id=cbbc_antik
CBBC,https://live.catvod.com/live.php?id=cbbc_antik&token=57365f15108a692dd73d018c1e7b1e60b333ae2e5e6112ccd02a2777d46a1c43%3A1761354848%3ANTIuMTYxLjQ1LjIyNA%3D%3D
CBeebies,https://hls-gateway.vpstv.net/streams/709544.m3u8
